,D_Adverb,D_Adjective,D_Article,D_noun,D_Verb,D_Preposition,D_Pronoun,R_Adverb,R_Adjective,R_Article,R_noun,R_Verb,R_Preposition,R_Pronoun,R_D_Adverb,R_D_Adjective,R_D_Article,R_D_noun,R_D_Verb,R_D_Preposition,R_D_Pronoun,Requisito,resposta,DC1,DC2,DC3,DC4,DC5,DC6
D_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_Adjective,,1.0,0.3742384835855877,0.15139916924280478,0.35528353214683406,0.2575207628784493,,0.26653263648701986,-0.03754738000568805,0.10270136772779438,0.11523562028355423,0.0771797198160118,0.011096274802620897,,,-0.214986190125046,-0.036657687267266266,0.0443987529380924,,0.557456642191645,,0.1674826103895434,-0.018962670799619163,0.08866598898833705,-0.13589776369835285,0.12297652738744412,-0.14992128980696942,-0.17856197175816618,-0.18488604029628777
D_Article,,0.3742384835855877,1.0,0.050675332000344575,0.7262698496418672,0.6230945347121521,,0.11914848283754388,0.04951472528689934,0.03141155876164602,0.09602427474934125,0.08283790189494113,-0.08322217367951094,,,-0.1062433191766247,0.19501063520888304,0.0611221201136504,,0.4613325217902148,,0.0739249801567626,-0.05622659999788931,-0.06106488891099376,-0.03770322497484001,0.2295882721361784,-0.07408910979383626,-0.18556974220888928,-0.0913682249965705
D_noun,,0.15139916924280478,0.050675332000344575,1.0,-0.08671899146226965,0.01211746214180491,,0.33777036959122336,0.22028075574839207,0.385120026631612,0.43140637627394035,0.30112550539567984,0.4479089603085853,,,-0.031466374616993954,-0.0006879188316226062,-0.3694252735347379,,-0.18227705269813776,,-0.049288017043086316,0.13524987278336184,0.09130756039707767,-0.1327796985115038,-0.12516957887537158,-0.025228080772031276,0.4214950024726186,-0.01490773358155271
D_Verb,,0.35528353214683406,0.7262698496418672,-0.08671899146226965,1.0,0.6824627113032266,,0.12837939977215737,-0.025834189266069677,0.040419483653475245,0.12266437601107445,-0.0006489729772593254,-0.21115261398113314,,,0.028923707566224276,0.556136823365059,-0.04863971102765144,,0.606538163452676,,0.008762714349652393,0.015307143530393617,-0.11662404994953034,-0.013792700585455335,0.4338455201386009,-0.09619556407211938,-0.26743567381530614,0.0966263435356097
D_Preposition,,0.2575207628784493,0.6230945347121521,0.01211746214180491,0.6824627113032266,1.0,,-0.06728357864170123,-0.0039364849175678365,-0.042928350918411406,-0.0017590107967735658,-0.06397388042355397,-0.21855125109369797,,,0.11678305228374268,0.4991650425568598,0.0830261841323095,,0.20422273944853375,,0.13708420101487512,-0.009798272520870293,-0.050039006637059805,-0.010676761870781417,0.19298445257726665,-0.0675348016581852,-0.16915327729960783,0.16167149659435887
D_Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Adverb,,0.26653263648701986,0.11914848283754388,0.33777036959122336,0.12837939977215737,-0.06728357864170123,,1.0,0.17242437593249849,0.6204776913678991,0.6911595572441193,0.6060224693904906,0.5928345601813871,,,-0.09010665823541705,-0.17352565371298936,-0.12538749815607514,,0.06675585615164938,,0.055197321890911255,0.05166056863400411,0.1359984540346536,-0.03197670812160021,-0.005726984870689088,0.05800260829630492,0.03521894631507543,-0.2265117240106332
R_Adjective,,-0.03754738000568805,0.04951472528689934,0.22028075574839207,-0.025834189266069677,-0.0039364849175678365,,0.17242437593249849,1.0,0.5667418356204044,0.591842461521737,0.6891274105385456,0.6259226688834124,,,0.17866083929998663,-0.137055657382798,-0.07278877565002952,,-0.18672535664584594,,0.20982867694369373,0.2821836216073019,0.4950077567792441,0.22530083265606163,0.1746153162464137,0.4154605722030698,-0.11016398487763819,-0.10043823819920925
R_Article,,0.10270136772779438,0.03141155876164602,0.385120026631612,0.040419483653475245,-0.042928350918411406,,0.6204776913678991,0.5667418356204044,1.0,0.9255738007150371,0.7612764865158083,0.6702984708252021,,,0.07973481889544255,-0.1385303983089606,-0.24403537407822393,,-0.18891573959657904,,-0.051152071761545494,0.1889720582479175,0.2933769701267635,-0.017838775818686165,0.125151962526235,0.1253399354822776,0.0154131376360808,0.05137104496059904
R_noun,,0.11523562028355423,0.09602427474934125,0.43140637627394035,0.12266437601107445,-0.0017590107967735658,,0.6911595572441193,0.591842461521737,0.9255738007150371,1.0,0.7689364845606385,0.6825954184141754,,,0.07114099695446495,-0.053625763779806206,-0.18905384148395243,,-0.11863984996914771,,-0.0551406771139094,0.15942673565954132,0.2782351110191888,-0.0585431890487345,0.20766210222846482,0.13108732367493983,0.0005771786645382467,0.1449130972591632
R_Verb,,0.0771797198160118,0.08283790189494113,0.30112550539567984,-0.0006489729772593254,-0.06397388042355397,,0.6060224693904906,0.6891274105385456,0.7612764865158083,0.7689364845606385,1.0,0.7155708717270693,,,0.19206103740248545,-0.20248757735495465,-0.10950853789526312,,-0.1560699667314285,,0.11486211948270547,0.09892572557806378,0.31540219607013936,0.09891094920841166,0.159539423277915,0.3810325196128107,-0.1415566375447883,-0.32504166975649634
R_Preposition,,0.011096274802620897,-0.08322217367951094,0.4479089603085853,-0.21115261398113314,-0.21855125109369797,,0.5928345601813871,0.6259226688834124,0.6702984708252021,0.6825954184141754,0.7155708717270693,1.0,,,0.020012678712715937,-0.30269980541105795,-0.12877903957367706,,-0.2962547994236071,,0.049370409734321316,0.14151028033553348,0.3180916315982711,0.1846526057003975,-0.21496169613604946,0.24655430189563868,0.06143626586757417,-0.3174419802121445
R_Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_D_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_D_Adjective,,-0.214986190125046,-0.1062433191766247,-0.031466374616993954,0.028923707566224276,0.11678305228374268,,-0.09010665823541705,0.17866083929998663,0.07973481889544255,0.07114099695446495,0.19206103740248545,0.020012678712715937,,,1.0,0.34709821864299367,0.0999352953843599,,-0.007536071065605618,,-0.1542228857276216,0.07267523746672659,0.041774089492042366,0.1908709118331088,0.43058200930704765,0.6973531170526263,-0.09840273670762052,0.2543633311335426
R_D_Article,,-0.036657687267266266,0.19501063520888304,-0.0006879188316226062,0.556136823365059,0.4991650425568598,,-0.17352565371298936,-0.137055657382798,-0.1385303983089606,-0.053625763779806206,-0.20248757735495465,-0.30269980541105795,,,0.34709821864299367,1.0,-0.10283689544843713,,0.33016664144560454,,-0.09156504483614465,0.1010797391438537,-0.1709514280056842,0.10484700035289939,0.3459695943463839,-0.046104766608400856,-0.11547783038464476,0.4169539239683964
R_D_noun,,0.0443987529380924,0.0611221201136504,-0.3694252735347379,-0.04863971102765144,0.0830261841323095,,-0.12538749815607514,-0.07278877565002952,-0.24403537407822393,-0.18905384148395243,-0.10950853789526312,-0.12877903957367706,,,0.0999352953843599,-0.10283689544843713,1.0,,0.1271754205646436,,-0.17721604106767785,-0.5141117844876236,-0.2859283026360122,-0.12927826158002348,-0.12497343534132158,0.022602223699413487,-0.4151503255661488,-0.12697941665055787
R_D_Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_D_Preposition,,0.557456642191645,0.4613325217902148,-0.18227705269813776,0.606538163452676,0.20422273944853375,,0.06675585615164938,-0.18672535664584594,-0.18891573959657904,-0.11863984996914771,-0.1560699667314285,-0.2962547994236071,,,-0.007536071065605618,0.33016664144560454,0.1271754205646436,,1.0,,0.17873606663634742,-0.05184758473652121,-0.16849734034556288,-0.11299222687017682,0.2490677406933589,-0.08408484236688502,-0.2106058847935578,0.025923792368260652
R_D_Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
